1,1_PASS_Tier1,1,,Hardware,P,TRUE
2,2_PASS_Tier2,2,,Hardware,P,TRUE
3,3_FAIL_MISC,3,,Hardware,F,TRUE
4,4_FAIL_LOGICAL,4,,Hardware,F,TRUE
5,5_FAIL_IMAGE_CAPTURE,5,,Hardware,F,TRUE
6,6_FAIL_PIXEL_CLUSTERS,6,,Hardware,F,TRUE
7,7_FAIL_Unused,7,,Hardware,F,TRUE
8,8_FAIL_DC,8,,Hardware,F,TRUE
111,11_PASS_1,1,1,Software,P,TRUE
111,11_PASS_1,1,.,Software,P,TRUE
111,11_PASS_1,1,111,Software,P,TRUE
211,21_PASS_2,2,1,Software,P,TRUE
211,21_PASS_2,2,211,Software,P,TRUE
1510,!1_MISC_IGrinder,3,1510,Software,F,TRUE
1512,!2_MISC_Missing_Image,3,1512,Software,F,TRUE
1564,!p_MISC_Previous_Data,3,1564,Software,F,TRUE
1573,!a_MISC_Empty_Keyword,3,1573,Software,F,TRUE
3245,&K_MISC_Leakage,3,3245,Software,F,TRUE
3248,&H_MISC_Continuity,3,3248,Software,F,TRUE
3249,&I_MISC_Operating_Current,3,3249,Software,F,TRUE
3250,&i_MISC_Current_Preview,3,3250,Software,F,TRUE
3333,LL_IMAGE_Capture_Timeout,5,3333,Software,F,TRUE
3438,Bs_LOGICAL_SAM,4,3438,Software,F,TRUE
3439,BS_LOGICAL_SOC,4,3439,Software,F,TRUE
3453,BT_LOGICAL_Tx_FIFO,4,3453,Software,F,TRUE
3455,BR_LOGICAL_Rx_FIFO,4,3455,Software,F,TRUE
3457,BM_LOGICAL_MIPI,4,3457,Software,F,TRUE
3462,BU_LOGICAL_MCU,4,3462,Software,F,TRUE
3473,Ba_LOGICAL_MCU_RAM,4,3473,Software,F,TRUE
3477,Bj_LOGICAL_MCU_JPEG,4,3477,Software,F,TRUE
3482,Bo_LOGICAL_MCU_ROM,4,3482,Software,F,TRUE
3636,CC_LOGICAL_Def_Reg,4,3636,Software,F,TRUE
3673,Ca_LOGICAL_Nack_Ack,4,3673,Software,F,TRUE
3680,Cm_LOGICAL_Master,4,3680,Software,F,TRUE
3737,PP_LOGICAL_PLL,4,3737,Software,F,TRUE
3841,sv_LOGICAL_OTPM_Verify,4,3841,Software,F,TRUE
3884,sr_LOGICAL_Read,4,3884,Software,F,TRUE
3886,sw_LOGICAL_OTPM_Write,4,3886,Software,F,TRUE
3939,SS_LOGICAL_EID,4,3939,Software,F,TRUE
3981,Sn_LOGICAL_Trim,4,3981,Software,F,TRUE
4038,Vs_LOGICAL_Stuck_at,4,4038,Software,F,TRUE
4047,Vf_LOGICAL_Sanity,4,4047,Software,F,TRUE
4064,Vp_LOGICAL_Scan_misc,8,4064,Software,F,TRUE
4073,Va_LOGICAL_AC,4,4073,Software,F,TRUE
4141,vv_DC_Voice_Coil,8,4141,Software,F,TRUE
4242,bb_LOGICAL_BIST,4,4242,Software,F,TRUE
4274,bd_LOGICAL_BIST,4,4274,Software,F,TRUE
4348,WH_LOGICAL_Output_HiSpi,4,4348,Software,F,TRUE
4351,WA_LOGICAL_Output_AC,4,4351,Software,F,TRUE
4353,WT_LOGICAL_Output_Test_Pattern,4,4353,Software,F,TRUE
4354,Wt_LOGICAL_Input_Test_Pattern,4,4354,Software,F,TRUE
4356,WD_LOGICAL_Output_DC,4,4356,Software,F,TRUE
